Date,Open,High,Low,Close,Adj Close,Volume
2023-05-16,0.173372,0.172164,0.173986,0.172570,0.172570,237928
2023-05-17,0.172577,0.172389,0.170689,0.170706,0.170706,220929
2023-05-18,0.170701,0.172033,0.171816,0.172377,0.172377,240233
2023-05-19,0.172382,0.172333,0.172189,0.171825,0.171825,212688
2023-05-20,0.171820,0.170598,0.171201,0.170438,0.170438,184600
2023-05-21,0.170448,0.170689,0.170158,0.170712,0.170712,152402
2023-05-22,0.170707,0.171572,0.169823,0.169825,0.169825,167773
2023-05-23,0.169834,0.170393,0.169689,0.170123,0.170123,195379
2023-05-24,0.170125,0.169000,0.170257,0.169070,0.169070,194989
2023-05-25,0.169077,0.169094,0.170637,0.169977,0.169977,232707
2023-05-26,0.169972,0.169743,0.171351,0.168760,0.168760,222137
2023-05-27,0.168755,0.167868,0.167424,0.167828,0.167828,260125
2023-05-28,0.167833,0.167967,0.167240,0.167982,0.167982,181082
2023-05-29,0.167976,0.164683,0.168066,0.164600,0.164600,212446
2023-05-30,0.164607,0.166696,0.164613,0.164708,0.164708,286983
2023-05-31,0.164709,0.164259,0.164147,0.163950,0.163950,206217
2023-06-01,0.163956,0.163532,0.164400,0.163757,0.163757,253165
2023-06-02,0.163766,0.163120,0.164468,0.163740,0.163740,190557
2023-06-03,0.163739,0.162770,0.163832,0.161172,0.161172,200405
2023-06-04,0.161178,0.161898,0.160892,0.162080,0.162080,137918
2023-06-05,0.162079,0.161244,0.161372,0.161423,0.161423,144650
2023-06-06,0.161428,0.161428,0.151610,0.152928,0.152928,512827
2023-06-07,0.152953,0.150613,0.151618,0.149384,0.149384,367117
2023-06-08,0.149377,0.149377,0.139000,0.141550,0.141550,523183
2023-06-09,0.141555,0.144085,0.140765,0.142003,0.142003,304897
2023-06-10,0.142004,0.142289,0.139822,0.141663,0.141663,267025
2023-06-11,0.141654,0.141647,0.132965,0.136425,0.136425,609648
2023-06-12,0.136424,0.136570,0.134004,0.134300,0.134300,214602
2023-06-13,0.134281,0.136049,0.127529,0.132606,0.132606,582208
2023-06-14,0.132620,0.139611,0.132427,0.140227,0.140227,497000
2023-06-15,0.140227,0.144168,0.142954,0.143941,0.143941,447522
2023-06-16,0.143962,0.145083,0.141674,0.141875,0.141875,301680
2023-06-17,0.141871,0.140901,0.139911,0.139290,0.139290,284610
2023-06-18,0.139298,0.141651,0.138418,0.141623,0.141623,261609
2023-06-19,0.141615,0.143253,0.141159,0.141870,0.141870,216359
2023-06-20,0.141871,0.141716,0.140155,0.139850,0.139850,206761
2023-06-21,0.139838,0.138193,0.139284,0.138212,0.138212,266402
2023-06-22,0.138216,0.140145,0.135121,0.131912,0.131912,379761
2023-06-23,0.131907,0.132703,0.128176,0.128591,0.128591,378646
2023-06-24,0.128591,0.128874,0.128476,0.129142,0.129142,260410
2023-06-25,0.129136,0.131066,0.123904,0.126161,0.126161,297897
2023-06-26,0.126149,0.125903,0.125945,0.125730,0.125730,218384
2023-06-27,0.125723,0.126576,0.124969,0.126999,0.126999,229897
2023-06-28,0.126997,0.127190,0.126454,0.125664,0.125664,184232
2023-06-29,0.125669,0.125710,0.123949,0.126172,0.126172,263051
2023-06-30,0.126162,0.126087,0.126138,0.125935,0.125935,179450
2023-07-01,0.125914,0.126789,0.125726,0.124330,0.124330,324246
2023-07-02,0.124339,0.129183,0.124339,0.128743,0.128743,313729
2023-07-03,0.128757,0.129011,0.127066,0.127076,0.127076,268071
2023-07-04,0.127074,0.128533,0.125816,0.125993,0.125993,342600
2023-07-05,0.125974,0.126152,0.124180,0.125203,0.125203,226968
2023-07-06,0.125206,0.125752,0.124954,0.125146,0.125146,238430
2023-07-07,0.125139,0.124954,0.125201,0.125747,0.125747,290193
2023-07-08,0.125755,0.126038,0.126148,0.125933,0.125933,223632
2023-07-09,0.125927,0.127205,0.126871,0.126655,0.126655,171152
2023-07-10,0.126659,0.126523,0.125414,0.125710,0.125710,155282
2023-07-11,0.125713,0.129380,0.125215,0.130739,0.130739,443511
2023-07-12,0.130750,0.132737,0.130219,0.132319,0.132319,285483
2023-07-13,0.132319,0.132997,0.129822,0.130350,0.130350,269967
2023-07-14,0.130340,0.127891,0.130211,0.127881,0.127881,379497
2023-07-15,0.127869,0.129886,0.128474,0.127991,0.127991,412282
2023-07-16,0.127983,0.129834,0.127894,0.129993,0.129993,218864
2023-07-17,0.129992,0.130339,0.126101,0.126141,0.126141,229500
2023-07-18,0.126142,0.127671,0.126327,0.127820,0.127820,351012
2023-07-19,0.127810,0.128699,0.126613,0.126602,0.126602,396174
2023-07-20,0.126607,0.127461,0.126507,0.127661,0.127661,264502
2023-07-21,0.127649,0.128294,0.126589,0.128323,0.128323,256420
2023-07-22,0.128334,0.129416,0.128326,0.128856,0.128856,218301
2023-07-23,0.128866,0.129270,0.129391,0.129163,0.129163,166191
2023-07-24,0.129176,0.128240,0.129215,0.128364,0.128364,148030
